name,milnovecientos,dosmilveinte,percentage,province,densidad
Abiego,1383,258,81.34,Huesca,38.19
Abizanda,463,139,69.97,Huesca,44.84
Adahuesca,725,180,75.17,Huesca,52.47
Agüero,1182,125,89.42,Huesca,94.16
Aisa,733,2242,-205.86,Huesca,44.23
Albalate de Cinca,1519,313,79.39,Huesca,9.15
Albalatillo,464,1099,-136.85,Huesca,51.92
Albelda,1213,163,86.56,Huesca,19.28
Albero Alto,360,708,-96.66,Huesca,22.22
Albero Bajo,205,120,41.46,Huesca,20.79
Alberuela de Tubo,238,132,44.53,Huesca,71.42
Alcalá de Gurrea,638,290,54.54,Huesca,47.85
Alcalá del Obispo,1328,239,82.00,Huesca,58
Alcampell,1983,298,84.97,Huesca,83.24
Alcolea de Cinca,2409,623,74.13,Huesca,115.31
Alcubierre,1530,1177,23.07,Huesca,8.94
Alerre,227,362,-59.47,Huesca,8.76
Alfántega,309,200,35.27,Huesca,201.49
Almudévar,2983,130,95.64,Huesca,35.66
Almunia de San Juan,954,2377,-149.16,Huesca,37.56
Almuniente,512,666,-30.07,Huesca,32.36
Alquézar,1313,457,65.19,Huesca,32.41
Altorricón,532,312,41.35,Huesca,56.51
Angüés,1912,1420,25.73,Huesca,223.08
Ansó,1549,353,77.21,Huesca,22.41
Antillón,393,386,1.78,Huesca,64.44
Aragüés del Puerto,546,135,75.27,Huesca,9
Argavieso,322,111,65.52,Huesca,62.75
Arguis,570,308,45.96,Huesca,119.32
Arén,2119,95,95.51,Huesca,63.89
Ayerbe,2609,125,95.20,Huesca,51.17
Azanuy-Alins,1221,1017,16.70,Huesca,14.49
Azara,513,170,66.86,Huesca,15.89
Azlor,537,157,70.76,Huesca,284.77
Aínsa-Sobrarbe,3680,138,96.25,Huesca,80.97
Bailo,1488,97,93.48,Huesca,164.43
Baldellou,813,261,67.89,Huesca,30.42
Ballobar,2333,64,97.25,Huesca,127.73
Banastás,113,833,-637.16,Huesca,4.66
Barbastro,7301,310,95.75,Huesca,107
Barbués,218,17174,-7777.98,Huesca,19.59
Barbuñales,425,86,79.76,Huesca,18.75
Baélls,737,96,86.97,Huesca,39.82
Belver de Cinca,1666,102,93.87,Huesca,82.63
Benabarre,2887,1301,54.93,Huesca,157.14
Benasque,1598,1142,28.53,Huesca,233
Beranuy,651,2184,-235.48,Huesca,63.75
Berbegal,1109,75,93.23,Huesca,49.03
Bielsa,971,327,66.32,Huesca,202.41
Bierge,1581,448,71.66,Huesca,145.03
Biescas,3509,252,92.81,Huesca,189.09
Binaced,1774,1474,16.91,Huesca,78.49
Binéfar,1556,1605,-3.14,Huesca,25
Bisaurri,813,9742,-1098.27,Huesca,63.19
Biscarrués,810,171,78.88,Huesca,30.18
Blecua y Torres,769,182,76.33,Huesca,36
Boltaña,1926,173,91.01,Huesca,139.45
Bonansa,421,1045,-148.21,Huesca,37.29
Borau,460,87,81.08,Huesca,41.72
Broto,1758,70,96.01,Huesca,128
Bárcabo,829,538,35.10,Huesca,87.92
Caldearenas,1483,226,84.76,Huesca,192.31
Campo,806,436,45.90,Huesca,22.86
Camporrélls,997,127,87.26,Huesca,26.71
Canal de Berdún,2022,323,84.02,Huesca,133.27
Candasnos,1063,419,60.58,Huesca,122.45
Canfranc,770,558,27.53,Huesca,71.56
Capdesaso,490,211,56.93,Huesca,17
Capella,1008,360,64.28,Huesca,60.71
Casbas de Huesca,2195,275,87.47,Huesca,132.69
Castejón de Monegros,1594,510,68.00,Huesca,17.56
Castejón de Sos,813,764,6.02,Huesca,17.56
Castejón del Puente,621,312,49.75,Huesca,25.43
Castelflorite,247,103,58.29,Huesca,34.76
Castiello de Jaca,523,221,57.74,Huesca,17.31
Castigaleu,266,79,70.30,Huesca,26.53
Castillazuelo,757,153,79.78,Huesca,15.32
Castillonroy,863,318,63.15,Huesca,37.58
Chalamera,427,113,73.53,Huesca,11
Chimillas,189,83,56.08,Huesca,10.04
Chía,602,402,33.22,Huesca,26
Colungo,702,117,83.33,Huesca,40.64
El Grado,1605,632,60.62,Huesca,63.77
El Pueyo de Araguás,492,199,59.55,Huesca,61.84
Esplús,549,796,-44.99,Huesca,73
Estada,524,121,76.90,Huesca,15.87
Estadilla,1752,20,98.85,Huesca,50.39
Estopiñán del Castillo,1486,100,93.27,Huesca,88.71
Fago,419,331,21.00,Huesca,28.76
Fanlo,1065,851,20.09,Huesca,187
Fiscal,2505,162,93.53,Huesca,170.06
Fonz,2006,15353,-665.35,Huesca,51.86
Foradada del Toscar,665,600,9.77,Huesca,106.25
Fraga,6934,147,97.88,Huesca,437.64
Gistaín,444,395,11.03,Huesca,75
Graus,6259,1738,72.23,Huesca,299.79
Grañén,1431,3365,-135.15,Huesca,123.98
Gurrea de Gállego,1401,1476,-5.35,Huesca,191.97
Hoz de Jaca,160,73,54.37,Huesca,12.45
Hoz y Costean,1390,221,84.10,Huesca,57.48
Huerto,970,213,78.04,Huesca,86.72
Huesca,13683,53956,-294.32,Huesca,161.04
Ibieca,417,100,76.01,Huesca,14.94
Igriés,446,695,-55.82,Huesca,19.17
Ilche,720,197,72.63,Huesca,63.72
Isábena,1246,231,81.46,Huesca,118.53
Jaca,8964,13129,-46.46,Huesca,406.34
Jasa,467,96,79.44,Huesca,8
La Fueva,2691,155,94.24,Huesca,218.85
La Puebla de Castro,887,191,78.46,Huesca,17.03
La Sotonera,3972,892,77.54,Huesca,165.54
Labuerda,425,1163,-173.64,Huesca,17.85
Laluenga,794,92,88.41,Huesca,36.47
Lalueza,867,130,85.00,Huesca,88.19
Lanaja,1839,139,92.44,Huesca,183
Laperdiguera,369,205,44.44,Huesca,11.32
Las Peñas de Riglos,2226,297,86.65,Huesca,217.87
Lascellas-Ponzano,996,323,67.57,Huesca,27.33
Lascuarre,581,514,11.53,Huesca,31.87
Laspaúles,1065,93,91.26,Huesca,81.75
Laspuña,501,335,33.13,Huesca,45.29
Loarre,1771,72,95.93,Huesca,74.42
Loporzano,3139,405,87.09,Huesca,169.28
Loscorrales,371,210,43.39,Huesca,40.25
Lupiñén-Ortilla,1138,17469,-1435.06,Huesca,110.07
Monesma y Cajigar,513,265,48.34,Huesca,62
Monflorite-Lascasas,452,152,66.37,Huesca,29.16
Montanuy,1395,546,60.86,Huesca,174
Monzón,5037,56,98.88,Huesca,155.02
Naval,1550,508,67.22,Huesca,47.32
Novales,400,678,-69.50,Huesca,20.08
Nueno,1249,26,97.91,Huesca,147.24
Olvena,384,800,-108.33,Huesca,15.89
Ontiñena,1862,644,65.41,Huesca,136.96
Osso de Cinca,728,247,66.07,Huesca,27.66
Palo,288,563,-95.48,Huesca,14.41
Panticosa,889,210,76.37,Huesca,95
Peralta de Alcofea,2207,209,90.53,Huesca,116.14
Peralta de Calasanz,2404,106,95.59,Huesca,114.88
Peraltilla,439,120,72.66,Huesca,16
Perarrúa,689,100,85.48,Huesca,30.05
Pertusa,705,273,61.27,Huesca,29.37
Peñalba,1158,210,81.86,Huesca,156
Piracés,242,214,11.57,Huesca,25.15
Plan,1124,377,66.45,Huesca,92.53
Poleñino,512,93,81.83,Huesca,33.02
Pozán de Vero,885,245,72.31,Huesca,14.75
Puente de Montañana,822,213,74.08,Huesca,48.56
Puente la Reina de Jaca,848,161,81.01,Huesca,48.13
Pueyo de Santa Cruz,420,331,21.19,Huesca,9.29
Puértolas,1049,282,73.11,Huesca,99.86
Quicena,259,514,-98.45,Huesca,9.67
Robres,1064,9185,-763.25,Huesca,64
Sabiñánigo,4884,303,93.79,Huesca,586.82
Sahún,871,306,64.86,Huesca,73.36
Salas Altas,998,185,81.46,Huesca,20.74
Salas Bajas,601,91,84.85,Huesca,12.93
Salillas,367,1477,-302.45,Huesca,28.33
Sallent de Gállego,1420,547,61.47,Huesca,162.14
San Esteban de Litera,1532,150,90.20,Huesca,71
San Juan de Plan,361,780,-116.06,Huesca,55.53
San Miguel del Cinca,1922,221,88.50,Huesca,106.49
Sangarrén,509,243,52.25,Huesca,32.22
Santa Cilia,567,188,66.84,Huesca,28.08
Santa Cruz de la Serós,422,205,51.42,Huesca,19.51
Santa María de Dulcis,644,80,87.57,Huesca,27
Santaliestra y San Quílez,366,4184,-1043.16,Huesca,23.34
Sariñena,4029,140,96.52,Huesca,275.57
Secastilla,850,145,82.94,Huesca,47.42
Seira,311,501,-61.09,Huesca,69
Sena,1071,40,96.26,Huesca,104.69
Senés de Alcubierre,143,154,-7.69,Huesca,20.53
Sesa,881,122,86.15,Huesca,30.84
Sesué,360,689,-91.38,Huesca,5.35
Siétamo,1584,91,94.25,Huesca,48.98
Sopeira,889,859,3.37,Huesca,44.09
Tamarite de Litera,3517,3487,.85,Huesca,110.58
Tardienta,1531,948,38.07,Huesca,90.65
Tella-Sin,717,225,68.61,Huesca,90.33
Tierz,310,781,-151.93,Huesca,6.54
Tolva,962,122,87.31,Huesca,58.97
Torla-Ordesa,988,298,69.83,Huesca,185.21
Torralba de Aragón,443,113,74.49,Huesca,40.39
Torre la Ribera,362,96,73.48,Huesca,32.06
Torrente de Cinca,1382,1327,3.97,Huesca,56.77
Torres de Alcanadre,499,82,83.56,Huesca,28.31
Torres de Barbués,202,251,-24.25,Huesca,13.94
Tramaced,111,98,11.71,Huesca,15.42
Valfarta,309,63,79.61,Huesca,33
Valle de Bardají,221,40,81.90,Huesca,45.48
Valle de Hecho,2935,817,72.16,Huesca,234.43
Valle de Lierp,212,51,75.94,Huesca,32.76
Velilla de Cinca,1089,460,57.75,Huesca,16.54
Viacamp y Litera,820,37,95.48,Huesca,107.74
Vicién,374,110,70.58,Huesca,13.76
Villanova,279,174,37.63,Huesca,7.05
Villanueva de Sigena,900,451,49.88,Huesca,75.99
