name,2020,1900,province,percentage
Abiego,258,1383,Huesca,81.34
Abizanda,139,463,Huesca,69.97
Adahuesca,180,725,Huesca,75.17
Agüero,125,1182,Huesca,89.42
Aisa,313,733,Huesca,57.29
Albalate de Cinca,1099,1519,Huesca,27.64
Albalatillo,163,464,Huesca,64.87
Albelda,708,1213,Huesca,41.63
Albero Alto,120,360,Huesca,66.66
Albero Bajo,132,205,Huesca,35.60
Alcalá de Gurrea,239,638,Huesca,62.53
Alcalá del Obispo,298,1328,Huesca,77.56
Alcampell,623,1983,Huesca,68.58
Alcolea de Cinca,1177,2409,Huesca,51.14
Alcubierre,362,1530,Huesca,76.33
Alerre,200,227,Huesca,11.89
Alfántega,130,309,Huesca,57.92
Almudévar,2377,2983,Huesca,20.31
Almunia de San Juan,666,954,Huesca,30.18
Almuniente,457,512,Huesca,10.74
Alquézar,312,1313,Huesca,76.23
Angüés,353,1912,Huesca,81.53
Ansó,386,1549,Huesca,75.08
Antillón,135,393,Huesca,65.64
Aragüés del Puerto,111,546,Huesca,79.67
Argavieso,95,322,Huesca,70.49
Arguis,125,570,Huesca,78.07
Arén,308,2119,Huesca,85.46
Ayerbe,1017,2609,Huesca,61.01
Azanuy-Alins,170,1221,Huesca,86.07
Azara,157,513,Huesca,69.39
Azlor,138,537,Huesca,74.30
Aínsa-Sobrarbe,2242,3680,Huesca,39.07
Bailo,261,1488,Huesca,82.45
Baldellou,64,813,Huesca,92.12
Ballobar,833,2333,Huesca,64.29
Barbués,86,218,Huesca,60.55
Barbuñales,96,425,Huesca,77.41
Baélls,97,737,Huesca,86.83
Belver de Cinca,1301,1666,Huesca,21.90
Benabarre,1142,2887,Huesca,60.44
Beranuy,75,651,Huesca,88.47
Berbegal,327,1109,Huesca,70.51
Bielsa,448,971,Huesca,53.86
Bierge,252,1581,Huesca,84.06
Biescas,1474,3509,Huesca,57.99
Binaced,1605,1774,Huesca,9.52
Bisaurri,171,813,Huesca,78.96
Biscarrués,182,810,Huesca,77.53
Blecua y Torres,173,769,Huesca,77.50
Boltaña,1045,1926,Huesca,45.74
Bonansa,87,421,Huesca,79.33
Borau,70,460,Huesca,84.78
Broto,538,1758,Huesca,69.39
Bárcabo,102,829,Huesca,87.69
Caldearenas,226,1483,Huesca,84.76
Campo,436,806,Huesca,45.90
Camporrélls,127,997,Huesca,87.26
Canal de Berdún,323,2022,Huesca,84.02
Candasnos,419,1063,Huesca,60.58
Canfranc,558,770,Huesca,27.53
Capdesaso,211,490,Huesca,56.93
Capella,360,1008,Huesca,64.28
Casbas de Huesca,275,2195,Huesca,87.47
Castejón de Monegros,510,1594,Huesca,68.00
Castejón de Sos,764,813,Huesca,6.02
Castejón del Puente,312,621,Huesca,49.75
Castelflorite,103,247,Huesca,58.29
Castiello de Jaca,221,523,Huesca,57.74
Castigaleu,79,266,Huesca,70.30
Castillazuelo,153,757,Huesca,79.78
Castillonroy,318,863,Huesca,63.15
Chalamera,113,427,Huesca,73.53
Chía,83,602,Huesca,86.21
Colungo,117,702,Huesca,83.33
El Grado,395,1605,Huesca,75.38
El Pueyo de Araguás,161,492,Huesca,67.27
Estada,199,524,Huesca,62.02
Estadilla,796,1752,Huesca,54.56
Estopiñán del Castillo,121,1486,Huesca,91.85
Fago,20,419,Huesca,95.22
Fanlo,100,1065,Huesca,90.61
Fiscal,331,2505,Huesca,86.78
Fonz,851,2006,Huesca,57.57
Foradada del Toscar,162,665,Huesca,75.63
Gistaín,147,444,Huesca,66.89
Graus,3365,6259,Huesca,46.23
Hoz de Jaca,73,160,Huesca,54.37
Hoz y Costean,221,1390,Huesca,84.10
Huerto,213,970,Huesca,78.04
Ibieca,100,417,Huesca,76.01
Ilche,197,720,Huesca,72.63
Isábena,231,1246,Huesca,81.46
Jasa,96,467,Huesca,79.44
La Fueva,600,2691,Huesca,77.70
La Puebla de Castro,377,887,Huesca,57.49
La Sotonera,859,3972,Huesca,78.37
Labuerda,155,425,Huesca,63.52
Laluenga,191,794,Huesca,75.94
Lanaja,1163,1839,Huesca,36.75
Laperdiguera,92,369,Huesca,75.06
Las Peñas de Riglos,247,2226,Huesca,88.90
Lascellas-Ponzano,130,996,Huesca,86.94
Lascuarre,139,581,Huesca,76.07
Laspaúles,205,1065,Huesca,80.75
Laspuña,297,501,Huesca,40.71
Loarre,323,1771,Huesca,81.76
Loporzano,514,3139,Huesca,83.62
Loscorrales,93,371,Huesca,74.93
Lupiñén-Ortilla,335,1138,Huesca,70.56
Monesma y Cajigar,72,513,Huesca,85.96
Monflorite-Lascasas,405,452,Huesca,10.39
Montanuy,210,1395,Huesca,84.94
Naval,265,1550,Huesca,82.90
Novales,152,400,Huesca,62.00
Nueno,546,1249,Huesca,56.28
Olvena,56,384,Huesca,85.41
Ontiñena,508,1862,Huesca,72.71
Osso de Cinca,678,728,Huesca,6.86
Palo,26,288,Huesca,90.97
Panticosa,800,889,Huesca,10.01
Peralta de Alcofea,563,2207,Huesca,74.49
Peralta de Calasanz,210,2404,Huesca,91.26
Peraltilla,209,439,Huesca,52.39
Perarrúa,106,689,Huesca,84.61
Pertusa,120,705,Huesca,82.97
Peñalba,644,1158,Huesca,44.38
Piracés,100,242,Huesca,58.67
Plan,273,1124,Huesca,75.71
Poleñino,210,512,Huesca,58.98
Pozán de Vero,214,885,Huesca,75.81
Puente de Montañana,93,822,Huesca,88.68
Puente la Reina de Jaca,245,848,Huesca,71.10
Pueyo de Santa Cruz,331,420,Huesca,21.19
Puértolas,213,1049,Huesca,79.69
Robres,514,1064,Huesca,51.69
Sahún,303,871,Huesca,65.21
Salas Altas,306,998,Huesca,69.33
Salas Bajas,185,601,Huesca,69.21
Salillas,91,367,Huesca,75.20
San Esteban de Litera,547,1532,Huesca,64.29
San Juan de Plan,150,361,Huesca,58.44
San Miguel del Cinca,780,1922,Huesca,59.41
Sangarrén,221,509,Huesca,56.58
Santa Cilia,243,567,Huesca,57.14
Santa Cruz de la Serós,188,422,Huesca,55.45
Santa María de Dulcis,205,644,Huesca,68.16
Santaliestra y San Quílez,80,366,Huesca,78.14
Secastilla,140,850,Huesca,83.52
Seira,145,311,Huesca,53.37
Sena,501,1071,Huesca,53.22
Senés de Alcubierre,40,143,Huesca,72.02
Sesa,154,881,Huesca,82.51
Sesué,122,360,Huesca,66.11
Siétamo,689,1584,Huesca,56.50
Sopeira,91,889,Huesca,89.76
Tamarite de Litera,3487,3517,Huesca,.85
Tardienta,948,1531,Huesca,38.07
Tella-Sin,225,717,Huesca,68.61
Tolva,122,962,Huesca,87.31
Torla-Ordesa,298,988,Huesca,69.83
Torralba de Aragón,113,443,Huesca,74.49
Torre la Ribera,96,362,Huesca,73.48
Torrente de Cinca,1327,1382,Huesca,3.97
Torres de Alcanadre,82,499,Huesca,83.56
Tramaced,98,111,Huesca,11.71
Valfarta,63,309,Huesca,79.61
Valle de Bardají,40,221,Huesca,81.90
Valle de Hecho,817,2935,Huesca,72.16
Valle de Lierp,51,212,Huesca,75.94
Velilla de Cinca,460,1089,Huesca,57.75
Viacamp y Litera,37,820,Huesca,95.48
Vicién,110,374,Huesca,70.58
Villanova,174,279,Huesca,37.63
Villanueva de Sigena,384,900,Huesca,57.33
Villanúa,451,959,Huesca,52.97
Yebra de Basa,142,867,Huesca,83.62
Yésero,57,288,Huesca,80.20
Zaidín,1798,1907,Huesca,5.71
