name,1900,2020,province,percentage
Abanto,633,92,Zaragoza,85.46
Acered,745,158,Zaragoza,78.79
Aguarón,2275,624,Zaragoza,72.57
Aguilón,982,233,Zaragoza,76.27
Agón,499,138,Zaragoza,72.34
Ainzón,2061,1064,Zaragoza,48.37
Aladrén,353,52,Zaragoza,85.26
Alarba,471,116,Zaragoza,75.37
Alberite de San Juan,267,74,Zaragoza,72.28
Albeta,318,134,Zaragoza,57.86
Alborge,464,107,Zaragoza,76.93
Alcalá de Ebro,386,245,Zaragoza,36.52
Alcalá de Moncayo,370,143,Zaragoza,61.35
Alconchel de Ariza,667,76,Zaragoza,88.60
Aldehuela de Liestos,257,51,Zaragoza,80.15
Alforque,387,65,Zaragoza,83.20
Alhama de Aragón,1616,1011,Zaragoza,37.43
Almochuel,99,24,Zaragoza,75.75
Almonacid de la Cuba,667,230,Zaragoza,65.51
Almonacid de la Sierra,2725,753,Zaragoza,72.36
Alpartir,1042,568,Zaragoza,45.48
Ambel,955,253,Zaragoza,73.50
Anento,387,95,Zaragoza,75.45
Aniñón,1870,684,Zaragoza,63.42
Aranda de Moncayo,1585,145,Zaragoza,90.85
Ardisa,484,74,Zaragoza,84.71
Ariza,1578,1100,Zaragoza,30.29
Artieda,269,80,Zaragoza,70.26
Arándiga,1121,278,Zaragoza,75.20
Asín,336,98,Zaragoza,70.83
Atea,1225,147,Zaragoza,88.00
Ateca,3126,1762,Zaragoza,43.63
Azuara,2388,529,Zaragoza,77.84
Añón de Moncayo,1106,222,Zaragoza,79.92
Badules,440,78,Zaragoza,82.27
Bagüés,243,16,Zaragoza,93.41
Balconchán,178,20,Zaragoza,88.76
Bardallur,834,254,Zaragoza,69.54
Belchite,3333,1526,Zaragoza,54.21
Belmonte de Gracián,997,194,Zaragoza,80.54
Berdejo,363,40,Zaragoza,88.98
Berrueco,232,32,Zaragoza,86.20
Biel,1659,155,Zaragoza,90.65
Bijuesca,833,94,Zaragoza,88.71
Biota,1383,930,Zaragoza,32.75
Bisimbre,291,81,Zaragoza,72.16
Boquiñeni,920,776,Zaragoza,15.65
Bordalba,520,52,Zaragoza,90.00
Borja,5667,4978,Zaragoza,12.15
Bubierca,914,65,Zaragoza,92.88
Bujaraloz,1510,980,Zaragoza,35.09
Bulbuente,1052,220,Zaragoza,79.08
Bureta,685,206,Zaragoza,69.92
Bárboles,640,282,Zaragoza,55.93
Cabolafuente,474,53,Zaragoza,88.81
Calcena,854,73,Zaragoza,91.45
